"","Country/Region","Date","R","ci_95_u","ci_95_l","ci_65_u","ci_65_l","days_infectious","last_updated"
"144","Georgia",2020-08-21,1.06118953761915,1.41968786141837,0.673153626167872,1.23602618923333,0.887002987633266,7,2021-02-25
"145","Georgia",2020-08-22,1.05426721235684,1.41314022588249,0.66541189147484,1.23233966445052,0.876621702627621,7,2021-02-25
"146","Georgia",2020-08-23,1.0684694469582,1.43079705517545,0.683245114500265,1.24718239794496,0.890122463845534,7,2021-02-25
"147","Georgia",2020-08-24,1.04101006344164,1.41443422460695,0.637020139552934,1.22904967392992,0.856693915861152,7,2021-02-25
"148","Georgia",2020-08-25,1.02916667818024,1.40755837006949,0.610010764122237,1.22377199955535,0.836698989908126,7,2021-02-25
"149","Georgia",2020-08-26,1.04189792700169,1.42741625994211,0.608551922899261,1.24078068390482,0.843730603799899,7,2021-02-25
"150","Georgia",2020-08-27,1.08773636481968,1.46879209658199,0.662497739676014,1.2811305428558,0.893253620744824,7,2021-02-25
"151","Georgia",2020-08-28,1.13303265243887,1.5105012554695,0.712706582497006,1.32657129213694,0.940651288022948,7,2021-02-25
"152","Georgia",2020-08-29,1.20694631905244,1.57695218687883,0.791773971792114,1.39465603170332,1.02111598919487,7,2021-02-25
"153","Georgia",2020-08-30,1.32477436839286,1.68166594919854,0.937557139194405,1.49818440317147,1.15120205205565,7,2021-02-25
"154","Georgia",2020-08-31,1.49346027622607,1.86421031355969,1.13611943910184,1.66250064062732,1.32213603772875,7,2021-02-25
"155","Georgia",2020-09-01,1.62358350354565,2.02925727934451,1.26388068055747,1.80362928254737,1.44335600564072,7,2021-02-25
"156","Georgia",2020-09-02,1.71199728345824,2.1418781075999,1.3421075868045,1.89862641033983,1.52367530901698,7,2021-02-25
"157","Georgia",2020-09-03,1.68355586207654,2.06223427552492,1.33044789393969,1.8558141578935,1.51275883182369,7,2021-02-25
"158","Georgia",2020-09-04,1.69504386222687,2.06792692394484,1.33617248161744,1.86621069385541,1.52646489179461,7,2021-02-25
"159","Georgia",2020-09-05,1.70990122874632,2.07934748227525,1.34829342448783,1.8810690392668,1.53963469441985,7,2021-02-25
