"","ds","country","polygon_source","polygon_id","polygon_name","all_day_bing_tiles_visited_relative_change","all_day_ratio_single_tile_users","baseline_name","baseline_type"
"108",2020-06-16,"GEO","GADM","GEO.1.1_1","Gagra",-0.11174,0.18983,"full_february","DAY_OF_WEEK"
"109",2020-06-17,"GEO","GADM","GEO.1.1_1","Gagra",-0.13147,0.21273,"full_february","DAY_OF_WEEK"
"110",2020-06-18,"GEO","GADM","GEO.1.1_1","Gagra",-0.10748,0.18608,"full_february","DAY_OF_WEEK"
"111",2020-06-19,"GEO","GADM","GEO.1.1_1","Gagra",-0.10558,0.21462,"full_february","DAY_OF_WEEK"
"112",2020-06-20,"GEO","GADM","GEO.1.1_1","Gagra",-0.27699,0.27579,"full_february","DAY_OF_WEEK"
"113",2020-06-21,"GEO","GADM","GEO.1.1_1","Gagra",-0.17526,0.27549,"full_february","DAY_OF_WEEK"
"114",2020-06-22,"GEO","GADM","GEO.1.1_1","Gagra",-0.15318,0.23135,"full_february","DAY_OF_WEEK"
"115",2020-06-23,"GEO","GADM","GEO.1.1_1","Gagra",-0.1737,0.20392,"full_february","DAY_OF_WEEK"
"116",2020-06-24,"GEO","GADM","GEO.1.1_1","Gagra",-0.12955,0.22137,"full_february","DAY_OF_WEEK"
"117",2020-06-25,"GEO","GADM","GEO.1.1_1","Gagra",-0.17915,0.23833,"full_february","DAY_OF_WEEK"
"118",2020-06-26,"GEO","GADM","GEO.1.1_1","Gagra",-0.04756,0.20798,"full_february","DAY_OF_WEEK"
"119",2020-06-27,"GEO","GADM","GEO.1.1_1","Gagra",-0.15764,0.25132,"full_february","DAY_OF_WEEK"
"120",2020-06-28,"GEO","GADM","GEO.1.1_1","Gagra",-0.0767,0.28146,"full_february","DAY_OF_WEEK"
"121",2020-06-29,"GEO","GADM","GEO.1.1_1","Gagra",-0.0531,0.2162,"full_february","DAY_OF_WEEK"
"122",2020-06-30,"GEO","GADM","GEO.1.1_1","Gagra",-0.15268,0.22419,"full_february","DAY_OF_WEEK"
"123",2020-07-01,"GEO","GADM","GEO.1.1_1","Gagra",-0.06172,0.21877,"full_february","DAY_OF_WEEK"
"124",2020-07-02,"GEO","GADM","GEO.1.1_1","Gagra",-0.12444,0.2027,"full_february","DAY_OF_WEEK"
"125",2020-07-03,"GEO","GADM","GEO.1.1_1","Gagra",-0.06348,0.20186,"full_february","DAY_OF_WEEK"
"126",2020-07-04,"GEO","GADM","GEO.1.1_1","Gagra",-0.12368,0.2393,"full_february","DAY_OF_WEEK"
"127",2020-07-05,"GEO","GADM","GEO.1.1_1","Gagra",-0.06062,0.23135,"full_february","DAY_OF_WEEK"
"128",2020-07-06,"GEO","GADM","GEO.1.1_1","Gagra",-0.02665,0.21411,"full_february","DAY_OF_WEEK"
"129",2020-07-07,"GEO","GADM","GEO.1.1_1","Gagra",-0.15564,0.21139,"full_february","DAY_OF_WEEK"
"130",2020-07-08,"GEO","GADM","GEO.1.1_1","Gagra",-0.14981,0.21574,"full_february","DAY_OF_WEEK"
"131",2020-07-09,"GEO","GADM","GEO.1.1_1","Gagra",-0.21821,0.26818,"full_february","DAY_OF_WEEK"
"132",2020-07-10,"GEO","GADM","GEO.1.1_1","Gagra",-0.13137,0.23666,"full_february","DAY_OF_WEEK"
"133",2020-07-11,"GEO","GADM","GEO.1.1_1","Gagra",-0.11162,0.22438,"full_february","DAY_OF_WEEK"
"134",2020-07-12,"GEO","GADM","GEO.1.1_1","Gagra",-0.04708,0.25581,"full_february","DAY_OF_WEEK"
"135",2020-07-13,"GEO","GADM","GEO.1.1_1","Gagra",-0.09123,0.25907,"full_february","DAY_OF_WEEK"
"136",2020-07-14,"GEO","GADM","GEO.1.1_1","Gagra",-0.20367,0.24403,"full_february","DAY_OF_WEEK"
